Country code,Year,"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",Price level ratio of PPP conversion factor (GDP) to market exchange rate,Population growth (annual %),Literacy rate total (% of people aged 15 and above),Net investment in nonfinacial assets,Age dependency ratio,Trade (% of GDP),GDP per capita growth (annual %),Terms of trade adjustment (constant LCU),Access to electricity,Total tax and contribution rate (% of profit),Access to fresh water,"Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)","Unemployment, total (% of total labor force)",R&D expenditure (% of GDP)
NGA,2003,26.0024149030568,14.0317836131437,,0.249129298023922,2.69276790616125,54.7731781005859,,87.4156417170722,49.3349648618029,4.49515588495363,4963213550738.0,52.2000007629395,,1660.15873175772,33.8270605520678,39.1455112034019,3.81200003623962,
NGA,2004,28.3900400642307,14.9980338183251,,0.283996490359285,2.69550346507859,,,87.7420608441619,31.895870440492,6.3450407289032,4791984370339.27,46.122200012207,,1616.0068269488,27.2304536003492,43.3550182494556,3.78900003433228,
NGA,2005,28.2015834478783,17.8634933661605,3.0,0.334746952152524,2.69369341754265,,,88.1012518034478,33.0594600696505,3.60966061351272,8168225229903.4,46.8651695251465,,1573.05761443806,26.0892828253052,44.6842057366094,3.80699992179871,
NGA,2006,25.7516355958927,8.22522152017048,3.0,0.415601243263932,2.69592582302795,70.1983489990234,,88.5155542763465,42.566565803723,3.23834257096213,14841989460570.9,47.6100158691406,,1531.2156957452,24.7349912604596,48.4887987156133,3.80299997329712,
NGA,2007,24.3447178375368,5.38800796858625,3.0,0.443016946579385,2.70962693730599,,,88.9224918914526,39.3369315096852,3.74168735546235,7007039956393.18,50.1309204101563,,1490.28253518072,24.6625772141572,49.9623710482145,3.79099988937378,0.132229998707771
NGA,2008,24.714248898273,11.5810751748252,3.0,0.496707001374571,2.7196868027914,51.0776596069336,,89.3165523952958,40.7968353499,3.8999431832643,4984939605345.95,50.2999992370605,,1450.29771330838,25.2797507791406,48.9753597291066,3.78200006484985,
NGA,2009,21.2367614815946,12.5549603893497,3.0,0.396989380263972,2.72738484297876,,,89.6743340333749,36.0587104056279,5.13016187553015,-404776841705.355,49.8825073242188,,1411.27705387779,26.7488545066064,50.9813970650926,3.76300001144409,
NGA,2010,25.3174522378149,13.7202018444406,3.0,0.492238199798144,2.74437885223698,,,89.9440583064463,43.3207568422645,5.08187485400296,0.0,48.0,,1373.07289607349,23.8937040914541,50.788843670731,3.75500011444092,
NGA,2011,28.2777998870502,10.8400275418866,3.0,0.517151689448375,2.76406237855304,,,90.1298974002043,53.2779583342983,2.43700723737315,-4653635925822.18,55.9000015258789,,1335.64002192746,22.2347109927204,49.2430315165328,3.76999998092651,
NGA,2012,27.0730175031609,12.2177817351031,3.0,0.556792821096678,2.74928887763244,,,90.2518464227731,44.5323680484012,1.40350877872635,-2504021313705.67,53.2312431335449,,1299.41960276896,21.8599586164672,50.1858844830171,3.75,
NGA,2013,25.7423212366467,8.47582728502893,3.0,0.57951378681789,2.69747404339158,,,90.2796936155613,31.0488599618018,3.83236618046688,-4006309358487.06,55.5999984741211,33.0,1264.8366266331,20.7586228323417,52.3666011221468,3.70000004768372,
NGA,2014,24.6436085905522,8.06248582444999,3.0,0.591033082594031,2.6281238528085,,,90.1523008719058,30.8851937150808,3.55216229938173,-6001375583291.99,54.0482292175293,33.0,1232.02816543491,19.9902547675923,54.1531280148526,3.94400000572205,
NGA,2015,20.1607828978707,9.00938718326781,3.0,0.501598036656919,2.54118746244735,,,89.8968348395439,21.3326518707854,0.0769616167127936,-11247625044109.9,52.5,33.9,1201.11447118204,20.6318934802764,58.1222219184123,4.22100019454956,
NGA,2016,18.1731317261725,15.6753405526234,3.0,0.415688826153603,2.50703408562558,,,89.5183421521184,20.7225188807225,-4.05270636263391,-14638018329009.1,59.2999992370605,34.9,1171.37645070402,20.9831097070839,59.7850976776077,4.50899982452393,
NGA,2017,22.3151171952196,16.5235399802169,3.0,0.379272922289101,2.52731691971774,,,88.968554030094,26.3475990009104,-1.70987309182161,-15086231504138.5,54.4000015258789,34.8,1142.14302217773,20.8465714308196,55.8046968892209,4.72900009155273,
NGA,2018,25.7333065834233,12.0947315505318,3.0,0.407922114216797,2.49664490408847,62.0160102844238,,88.3348528429671,33.0078334908649,-0.590389271670531,-13217532056040.2,56.5,34.8,1113.98078498072,21.2037737195858,52.0170509344182,4.96299982070923,
NGA,2019,27.3825370476083,11.3967949687168,3.0,0.416621102089638,2.44820069834557,,,87.6805012880663,34.0238778317108,-0.263456378233769,-15962319156009.8,55.4000015258789,34.8,1087.03943442627,21.906295930281,49.7302169023896,5.20599985122681,
NGA,2020,28.2205055170115,13.2460234276597,3.0,0.404287892497243,2.44060888477318,,,86.9313241490553,16.3521873977762,-4.16205929039309,-11610160483267.5,55.4000015258789,,,24.1433058676092,46.3861274680481,5.99900007247925,
NGA,2021,31.407534040012,16.9528457221608,3.0,0.381981677966345,2.40636338101405,,,86.1076368036576,22.5765386125815,1.18282822285458,-5592578180090.93,,,,23.3570587623058,43.7883918572832,5.93599987030029,
SEN,1960,13.6213953408618,,,,,,,86.4506735614938,24.0922122787737,,27990442997.0077,,,,23.2867533108269,,,
SEN,1961,14.5277445374314,,,,2.82854210231362,,,86.8022757470936,31.0092686118425,0.121050209977696,2715874000.14514,,,7662.42105181876,23.6808062581309,,,
SEN,1962,15.0666914814619,,,,2.82400739564471,,,87.2041562439869,29.8557028252819,-2.91694691023187,-41720666855.8134,,,7449.06055220059,22.544627330882,,,
SEN,1963,14.6309724493315,,,,2.81672759393385,,,87.7315507683228,27.9205523879157,-0.96473365179402,27206338411.4506,,,7242.16828272751,23.2937769460334,,,
SEN,1964,15.3070245159823,,,,2.82650721802994,,,88.4995491461553,28.0073275490751,0.988749355079463,16959677659.1309,,,7040.33374456523,23.7278033481412,,,
SEN,1965,15.7738041929441,,,,2.85878888473469,,,88.8653376700521,26.9518559906328,-1.52366791406308,-29623553940.4481,,,6841.91516343426,24.9859667565177,,,
SEN,1966,15.9107263453734,,,,2.9042134320401,,,88.6471374623568,28.6840155172826,-0.0680312319247633,-77997492966.6481,,,6646.06900474344,25.5410597291073,,,
SEN,1967,16.9849147784556,,,,2.94125300076171,,,88.3781747450945,27.878278351881,-4.08285728829009,-76138976241.4757,,,6453.43806913133,23.3899624108492,,,
SEN,1968,16.127440742964,0.0583333328329721,,,2.95233288307507,,,88.0933619653593,35.6041185550288,3.19858649946498,-261140408804.753,,,6265.69611519555,25.4627718236514,,,
SEN,1969,17.8495960060361,4.02265345225705,,,2.94810450750895,,,87.8273967833987,38.930677349546,-9.26881218925749,-305888296608.89,,,6083.67314263455,23.0716290939863,,,
SEN,1970,17.5924145890516,2.81024819857033,,,2.94807856024493,,,87.6125505032933,39.3467451277861,5.40826746687169,-243649064622.237,,,5906.93960085573,23.7191420374657,,,
SEN,1971,18.0095417461194,3.87820263197537,,,2.95231652493326,,,87.4773707758782,39.6811824660468,-3.04552493438702,-218953363708.784,,,5735.0971943371,20.6497950560751,,,
SEN,1972,17.3200628855285,6.15488417411267,,,2.95323687355495,,,87.4452242327347,43.8706013364347,3.28739906207009,-260963152300.753,,,5568.20271365712,24.2683218396173,,,
SEN,1973,17.1298538626325,11.2853107346839,,,2.94715142248462,,,87.5303918968041,45.2983085904488,-8.32524106460291,-253557643842.998,,,5406.49395363282,22.2636487497135,,,
SEN,1974,20.3412338934964,16.6010915093494,,,2.87896324280468,,,87.8097055376361,61.3942914614354,1.24364509570853,-198187572888.113,,,5253.06219931055,23.4895547861694,,,
SEN,1975,19.6020217788043,31.6534233153685,,,2.74133641512569,,,88.4047525917256,52.3800366767628,4.62778773832306,-230757992346.403,,,5111.01399744291,29.779394520551,,,
