Country code,Year,Exports of goods and services (% of GDP),GDP growth (annual %),"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)",Domestic credit to private sector (% of GDP),Population growth (annual %),Age dependency ratio,"Final consumption expenditure, etc. (annual % growth)",Tax revenue (% of GDP),Trade (% of GDP),"Central government debt, total (% of GDP)",GDP per capita growth (annual %),Access to electricity,"Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)",Imports of goods and services (% of GDP),Current health expenditure (% of GDP),"Unemployment, total (% of total labor force)",Gross domestic savings (% of GDP),GDP per person employed (constant 2017 PPP $)
MDG,1995,20.9868976053949,1.67859231731708,,49.0802100590784,9.46985784394134,3.17194065075098,91.9907606144474,-2.044821720529,6.84586581735106,45.3744915678324,,-1.49597837406023,11.0156345367432,34.9596662452556,43.5835155830029,24.3875939624375,,5.35500001907349,5.47022283731211,3367.56397526006
MDG,1996,17.024861564074,2.15420447648967,,19.7563545439776,7.8565252901951,3.18132685558576,92.083659790495,-1.17500007301217,,35.8824601668345,,-1.04450419993299,11.4669008255005,33.4308968971502,47.5777989361997,18.8575986027605,,5.43900012969971,7.693379148633,3337.57728062683
MDG,1997,16.142942543952,3.69349261585776,,4.48638261737397,8.28318409822561,3.17213384146486,92.2296141165802,1.36263348663009,,36.8737477819441,,0.45581939517993,10.9,33.7980682231685,47.621535473864,20.730805237992,,5.50899982452393,5.56405060599304,3358.59117003917
MDG,1998,16.4123755851733,3.91707459882808,,6.20801608663323,7.56390697960282,3.14400562356494,92.3433859493753,2.75828780036366,,37.3321870147971,,0.70074170800585,12.3585548400879,33.2427573029233,47.6358803367286,20.9198114296237,,5.60300016403198,7.73909509969831,3387.94972721321
MDG,1999,18.3466200690167,4.69922704382388,,9.92953399348779,7.20753790204277,3.0985230327836,92.3723693977604,0.983656717224179,,40.9244120208063,,1.50484232110102,12.7975006103516,33.2796628878081,46.3037115948654,22.5777919517896,,5.69099998474121,8.06217341832484,3443.58964035579
MDG,2000,19.1196684495627,4.45685893778607,,11.859684500028,7.35204250409011,3.03990100767654,92.2527387520147,0.460569417332209,,42.7771226639725,,1.32925274442537,12.7241897583008,30.8787172940737,48.3695987195514,23.6574542144097,1.76788807,5.80000019073486,7.39276064234627,3492.27743025319
MDG,2001,20.070249419803,5.98023576424708,,7.91694484529585,6.97945716931924,2.99623070466098,92.0159191397974,-2.19158170691861,,41.0351260923859,,2.85192316151432,14.8000001907349,29.8513134115876,50.9264110852576,20.9648766725829,1.8792789,5.34999990463257,13.6145900856827,3570.80432017313
MDG,2002,21.8155744053565,-12.4079711022759,,16.4985255315846,6.65848108549773,2.96156859041379,91.6478640510766,-2.35647774570431,,50.1816919379298,,-14.9640325397897,14.0465755462646,34.1425139825593,50.2028794922736,28.3661175325733,1.78953373,5.50400018692017,4.41970001231018,3031.62401012768
MDG,2003,13.6941628175957,9.78489212136444,,-1.70400479616301,7.53867241554107,2.93341631578179,91.1237489533613,6.20885948747849,8.59780028612767,34.030602917475,,6.61122026132726,20.2999992370605,32.0297909636333,49.9000478604401,20.3364400998793,2.13789773,5.01000022888184,7.08228840340791,3212.95633936059
MDG,2004,19.4573064554058,5.2570036214801,,13.9558018033212,8.60727448499636,2.9270346495312,90.4889210079599,2.22525735027683,9.37241986822963,48.7753818852156,,2.22074756162318,15.3480186462402,31.4205052808436,50.2445789659486,29.3180754298099,2.19151711,3.84599995613098,11.2902561420558,3235.18876773825
MDG,2005,24.3193861068762,4.75584509662626,,18.3638246468932,8.4956383039294,2.92328568439833,89.740841342285,-2.98538158062911,8.69015551764536,59.1300849357677,,1.73785956064012,15.9967613220215,30.7627339341287,51.4124515283538,34.8106988288915,1.93915868,2.61999988555908,8.83579997475888,3239.94619799232
MDG,2006,27.4869137820183,5.39850845004474,,10.7656371554866,8.78158028066736,2.92675246207207,88.9111272304104,-1.06620626705144,9.20188162119539,62.1028389388375,,2.35845936738166,16.6473751068115,30.182271724487,52.4774184200017,34.6159251568192,1.88154256,2.93499994277954,13.1822566298541,3316.49170451985
MDG,2007,27.7962071429556,5.71056419690301,18.9068307507967,10.2879663187671,8.7759808206859,2.92652452166253,88.028002407896,-9.09139554933553,9.84806132477098,66.7027353586752,,2.66174837953326,17.30251121521,28.0670132917237,48.040525265162,38.9065282157196,1.88316441,3.25300002098084,15.4076102675028,3404.04569319977
MDG,2008,27.7071993998824,6.71263254242815,20.4685954426536,9.29650839381059,9.70217947833011,2.91149152987358,87.0766480285525,3.08907047918692,11.3914508381925,74.357353960806,,3.65049650611356,17.964879989624,27.0525720488789,47.7475305832466,46.6501545609236,1.39414191,3.56399989128113,19.8031452773469,3526.21135318388
MDG,2009,20.3758298360304,-3.97870861280433,18.8332096323203,8.95421802392944,10.14157928843,2.8994727895916,86.0558618048883,-0.403336303963556,8.34414896138597,62.4116975971466,,-6.7228448415584,17.3999996185303,30.4651481321401,47.0157456107157,42.0358677611163,1.23608434,4.00400018692017,15.5618541488487,3288.32093837019
MDG,2010,21.874380518556,0.619239745847793,18.0075205567721,9.24732173644115,10.8686616138683,2.86594914827117,84.9508057226269,1.62595527151066,8.53531911751504,57.8748945099032,,-2.22352581427488,12.3000001907349,29.0780963482203,48.7541183081362,36.0005139913472,1.86783433,4.28000020980835,12.9012593428042,3209.78563713081
MDG,2011,22.7196386765593,1.57842705122724,17.8532728105159,9.48254048582997,10.1802537808383,2.80016501090231,83.739958317599,-0.520487999254541,8.71032363792001,56.4830925963965,,-1.22648220462497,14.3000001907349,29.0502057612661,49.1347880343985,33.7634539198372,1.67813408,2.43799996376038,12.3073389789127,3093.53675401515
